Transaction Date,Narration,Amount,Running Balance
2024-12-01,Payment Received from Client ABC Ltd,5000000.00,5000000.00
2024-12-02,Invoice Payment - XYZ Corp,2500000.00,7500000.00
2024-12-03,Office Rent Payment,-450000.00,7050000.00
2024-12-05,Electricity Utility Bill,-85000.00,6965000.00
2024-12-06,Internet Subscription,-35000.00,6930000.00
2024-12-07,Sales Revenue,1800000.00,8730000.00
2024-12-08,Inventory Stock Purchase,-650000.00,8080000.00
2024-12-10,Salary Payment,-1200000.00,6880000.00
2024-12-11,Office Stationery,-25000.00,6855000.00
2024-12-12,Client Payment DEF Inc,3200000.00,10055000.00
2024-12-13,Software Subscription,-45000.00,10010000.00
2024-12-14,Logistics and Shipping,-180000.00,9830000.00
2024-12-15,Received for Services,1500000.00,11330000.00
2024-12-17,Computer Equipment Purchase,-850000.00,10405000.00
2024-12-19,Airtime Recharge,-15000.00,10270000.00
2024-12-20,Insurance Premium,-200000.00,10070000.00
2024-12-21,Client Invoice Payment,2800000.00,12870000.00
2024-12-23,Cloud Hosting Fee,-125000.00,12650000.00
2024-12-26,Entertainment Expense,-80000.00,12515000.00
2024-12-27,Donation,-50000.00,12465000.00
2024-12-28,Sales,2100000.00,14565000.00
2024-12-30,Vehicle Purchase,-2500000.00,12065000.00
2024-12-31,Deposit Received,1000000.00,13065000.00
